Year,Month,De Aar,Gouda,Karusa,Noupoort,Nxuba,Oyster Bay,Roggeveld,Soetwater
1960,1,7.9187046859077945,5.9830016726054875,8.520109950852861,12.109556333736307,11.977344138028894,14.098176129314442,8.621715278047898,10.086537075344062
1960,2,6.983856133838772,6.6664324185814845,7.7044595145984305,11.40033478886743,10.72735629194435,11.126533364629719,7.796337921609284,9.559224430993451
1960,3,6.046506330237948,6.92476705310696,9.369566794134105,9.848573983027514,12.16494225020591,8.27784795936718,9.48130219488424,10.71017506013122
1960,4,6.327315689118322,8.39273576573446,7.646445148258611,9.384161442612461,10.799953080154012,8.975815818129941,7.737631713414375,8.717752537836638
1960,5,6.963404324091449,5.737944889822785,6.681042415156302,6.6918928030356835,8.184218339951258,8.690303504064458,6.760716210977203,7.069032097473119
1960,6,6.640023551968604,7.681276277915739,9.06704448053432,9.982943184487791,10.619256032238265,9.437699261853366,9.175172195604997,10.189790696075312
1960,7,5.614264333278632,6.742795903993539,7.3906701150767065,8.371513586317668,9.311738528112144,11.01020502051883,7.47880647242005,8.611008014705178
1960,8,6.222120980411278,6.183768711098085,6.826801454927695,9.065534604382261,12.120683431142798,8.277003523230949,6.9082134788950675,8.2252318139192
1960,9,6.681294291470671,7.940950759318205,8.342114056624713,10.985892556240337,14.473176333612368,12.001387502001663,8.441596719772367,10.483297774601471
1960,10,7.378475085368715,6.767173664429562,7.715128168450143,9.899769251277874,11.488568711052665,10.805930732153698,7.807133802934771,8.824294977976697
1960,11,6.398712567862113,7.351616832890956,7.531307085462172,8.929498822076743,11.706634561124318,10.172533859800009,7.621120588461402,8.415216233741555
1960,12,8.134565444648587,6.060081633417083,9.10378310590884,15.263557336102437,16.133882732073168,14.156231027292666,9.212348942092202,10.964821607886009
1961,1,7.990149720865697,7.105154971080988,8.953498274971787,12.032187334213013,11.243098745588163,11.654074059781298,9.060271911346941,10.462695027909092
1961,2,6.598550435132493,5.383802174638863,7.2775293662734235,9.08768589352957,10.827666731390579,10.234999096010892,7.36431648013663,9.258162958960824
1961,3,6.5737554103641305,6.6032609997657765,8.622549999105214,9.783811598575419,12.396304537139955,8.980179479871024,8.725376960138382,9.81115770730275
1961,4,4.689717711207347,5.5592810387211795,6.3852342994188405,5.634421543968642,8.260419484552035,7.882274436796759,6.4613804787465465,7.367300517751479
1961,5,6.888022105222608,5.966925783112636,5.825506789065765,6.507525074646544,9.86428700681408,8.665790213944472,5.89497801969474,7.005907834913856
